symbol,date,open,high,low,close
TSLA,2026-01-16 17:45:00,437.6000,447.2953,432.3000,437.6800
TSLA,2026-01-16 17:40:00,437.5892,461.4928,437.5100,437.5996
TSLA,2026-01-16 17:35:00,437.5800,460.3078,432.3000,437.5400
TSLA,2026-01-16 17:30:00,437.6500,460.3078,437.5500,437.5600
TSLA,2026-01-16 17:25:00,437.6200,439.8100,425.6255,437.6500
TSLA,2026-01-16 17:20:00,437.8600,461.4928,437.6200,437.7000
TSLA,2026-01-16 17:15:00,437.7600,461.4928,425.6255,437.8000
TSLA,2026-01-16 17:10:00,437.6900,461.4928,437.5000,437.7600
TSLA,2026-01-16 17:05:00,437.5000,437.7900,437.4700,437.6900
TSLA,2026-01-16 17:00:00,438.2750,438.3300,437.4500,437.5000
TSLA,2026-01-16 16:55:00,438.3200,438.3600,437.5000,438.3059
TSLA,2026-01-16 16:50:00,438.2700,438.3800,438.1900,438.2501
TSLA,2026-01-16 16:45:00,438.3300,438.3600,438.1250,438.2200
TSLA,2026-01-16 16:40:00,438.1988,438.4700,438.1300,438.3450
TSLA,2026-01-16 16:35:00,438.3250,439.1000,437.5000,438.2000
TSLA,2026-01-16 16:30:00,437.9700,438.6700,437.7900,438.2900
TSLA,2026-01-16 16:25:00,437.7600,438.1400,437.7000,438.0000
TSLA,2026-01-16 16:20:00,437.5800,437.8200,437.5000,437.8000
TSLA,2026-01-16 16:15:00,437.4000,437.6700,437.3900,437.5750
TSLA,2026-01-16 16:10:00,437.4500,437.5600,437.3400,437.4000
TSLA,2026-01-16 16:05:00,437.5300,437.5500,437.2900,437.4300
TSLA,2026-01-16 16:00:00,437.5000,438.6300,437.4010,437.5495
TSLA,2026-01-16 15:55:00,438.9400,439.0450,437.3600,437.4700
TSLA,2026-01-16 15:50:00,439.4200,439.5000,438.5300,438.9650
TSLA,2026-01-16 15:45:00,439.6100,439.7000,439.1500,439.3300
TSLA,2026-01-16 15:40:00,439.4300,439.8200,439.1700,439.6413
TSLA,2026-01-16 15:35:00,439.5800,439.6500,439.2500,439.4600
TSLA,2026-01-16 15:30:00,439.8300,439.8800,439.4500,439.5966
TSLA,2026-01-16 15:25:00,440.1200,440.2000,439.8300,439.8799
TSLA,2026-01-16 15:20:00,440.2401,440.5200,440.0401,440.1327
TSLA,2026-01-16 15:15:00,439.9631,440.3500,439.7200,440.2401
TSLA,2026-01-16 15:10:00,440.0900,440.1200,439.6200,439.9864
TSLA,2026-01-16 15:05:00,440.1500,440.4300,439.8800,440.0950
TSLA,2026-01-16 15:00:00,440.1700,440.6000,440.0200,440.1444
TSLA,2026-01-16 14:55:00,440.6200,440.6500,440.1100,440.1881
TSLA,2026-01-16 14:50:00,440.4000,440.6700,440.3600,440.6300
TSLA,2026-01-16 14:45:00,440.4884,440.7000,440.2600,440.4000
TSLA,2026-01-16 14:40:00,440.3750,440.8100,440.2600,440.4700
TSLA,2026-01-16 14:35:00,440.2300,440.5500,440.1000,440.3750
TSLA,2026-01-16 14:30:00,439.7962,440.4100,439.6400,440.2108
TSLA,2026-01-16 14:25:00,439.6781,439.9900,439.3842,439.8100
TSLA,2026-01-16 14:20:00,439.3350,439.8600,439.3300,439.6999
TSLA,2026-01-16 14:15:00,439.5000,439.9600,439.0200,439.3350
TSLA,2026-01-16 14:10:00,440.3783,440.4000,439.4300,439.5100
TSLA,2026-01-16 14:05:00,440.6458,440.8300,440.3201,440.3601
